id,drawing_name,product_category,status,upload_date,created_at,company_name,country,notes,month,day_of_week
229,a5649 - d026a5649cb89f994f89cc36a81d8119,未分类,pending,2025-10-30 17:38:24.890130,2025-11-05 03:05:37,,,文件大小: 0.06MB,2025-10,Thursday
242,天丰报价,未分类,pending,2025-10-30 15:42:25.450321,2025-11-05 03:05:37,,,文件大小: 0.09MB,2025-10,Thursday
236,MVIMG_20251017_110714,未分类,pending,2025-10-30 15:41:08.395875,2025-11-05 03:05:37,,,文件大小: 6.61MB,2025-10,Thursday
270,SAP15490 - SAP15490 阳昶精密报价单,未分类,pending,2025-10-30 15:05:00.312027,2025-11-05 03:05:37,,,文件大小: 0.08MB,2025-10,Thursday
230,2025.10.28_WG Range with Photos Fasteners,未分类,pending,2025-10-30 08:45:10.037889,2025-11-05 03:05:37,,,文件大小: 1.43MB,2025-10,Thursday
271,00.066.243 (1)_副本,未分类,pending,2025-10-29 16:18:41.598198,2025-11-05 03:05:37,,,文件大小: 2.54MB,2025-10,Wednesday
272,00.066.243 (1),未分类,pending,2025-10-29 16:08:13.472336,2025-11-05 03:05:37,,,文件大小: 1.12MB,2025-10,Wednesday
243,MVIMG_20251017_110009,未分类,pending,2025-10-29 09:43:23.883660,2025-11-05 03:05:37,,,文件大小: 11.79MB,2025-10,Wednesday
245,MVIMG_20251017_110024,未分类,pending,2025-10-29 09:43:22.659826,2025-11-05 03:05:37,,,文件大小: 8.84MB,2025-10,Wednesday
231,MVIMG_20251017_110038,未分类,pending,2025-10-29 09:43:20.489779,2025-11-05 03:05:37,,,文件大小: 5.56MB,2025-10,Wednesday
233,MVIMG_20251017_110048,未分类,pending,2025-10-29 09:43:18.662926,2025-11-05 03:05:37,,,文件大小: 6.76MB,2025-10,Wednesday
238,MVIMG_20251017_110051,未分类,pending,2025-10-29 09:43:18.349977,2025-11-05 03:05:37,,,文件大小: 6.70MB,2025-10,Wednesday
234,MVIMG_20251017_110059,未分类,pending,2025-10-29 09:43:16.681757,2025-11-05 03:05:37,,,文件大小: 8.15MB,2025-10,Wednesday
